rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score
1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96,"0:0, 15:0"
3,Djokovic,Nadal,Djokovic,out,second,4,4.16,3.33,-0.39,"0:0, 30:0"
5,Djokovic,Nadal,Djokovic,ace,second,2,0.4,1.62,17.18,"0:0, 40:0"
6,Djokovic,Nadal,Djokovic,net,first,10,10.4,6.41,12.78,"1:0, 0:0"
8,Nadal,Djokovic,Djokovic,out,second,7,7.2,0.5,18.67,"1:0, 15:0"
9,Nadal,Djokovic,Djokovic,winner,first,12,0.92,3.65,9.5,"1:0, 30:0"
11,Nadal,Djokovic,Nadal,winner,first,4,1.08,7.34,18.76,"1:0, 30:15"
13,Nadal,Djokovic,Djokovic,net,second,13,13.6,4.01,11.37,"1:0, 40:15"
14,Nadal,Djokovic,Djokovic,out,first,3,2.64,1.07,25.85,"2:0, 0:0"
15,Djokovic,Nadal,Djokovic,out,first,2,0.8,4.39,27.45,"2:0, 15:0"
17,Djokovic,Nadal,Djokovic,out,first,4,4,5.45,30.23,"2:0, 30:0"
18,Djokovic,Nadal,Djokovic,out,first,6,6.4,8.55,22.48,"2:0, 40:0"
19,Djokovic,Nadal,Djokovic,ace,first,1,0,1.62,10.23,"3:0, 0:0"
20,Nadal,Djokovic,Djokovic,winner,first,12,12.92,0.53,21.45,"3:0, 15:0"
22,Nadal,Djokovic,Nadal,out,second,2,0.76,4.77,24.68,"3:0, 15:15"
24,Nadal,Djokovic,Djokovic,winner,first,4,0.72,7.3,22.58,"3:0, 30:15"
25,Nadal,Djokovic,Nadal,winner,first,3,2.52,8.4,3.22,"3:0, 30:30"
26,Nadal,Djokovic,Djokovic,out,first,7,6.24,9,4.04,"3:0, 40:30"
28,Nadal,Djokovic,Nadal,out,first,2,0.84,8.34,24.45,"3:0, 40:40"
29,Nadal,,Nadal,out,first,2,0.8,2.27,24.56,"3:0, 40:Ad"
30,Nadal,Djokovic,Nadal,out,first,4,3.4,0.88,8.57,"3:1, 0:0"
31,Djokovic,Nadal,Djokovic,ace,first,1,0,4.63,16.1,"3:1, 15:0"
32,Djokovic,__undefined__,Djokovic,net,first,6,7.32,1.78,12.85,"3:1, 30:0"
33,Djokovic,Nadal,Djokovic,ace,first,1,0,4.23,18.13,"3:1, 40:0"
34,Djokovic,Nadal,Djokovic,winner,first,5,0.72,7.33,20.36,"4:1, 0:0"
36,Nadal,Djokovic,Djokovic,out,second,3,2.16,0.2,23.01,"4:1, 15:0"
37,Nadal,Djokovic,Nadal,net,first,2,0.84,7.47,17.52,"4:1, 15:15"
38,Nadal,Djokovic,Nadal,winner,first,3,3.12,3.19,16.26,"4:1, 15:30"
40,Nadal,Djokovic,Djokovic,out,second,11,11.92,8.45,24.56,"4:1, 30:30"
42,Nadal,Djokovic,Nadal,net,second,6,7.16,2.88,12.72,"4:1, 30:40"
43,Nadal,Djokovic,Nadal,out,first,2,0.76,4.55,-0.62,"4:2, 0:0"
44,Djokovic,Nadal,Djokovic,net,first,8,1,8.38,13.42,"4:2, 15:0"
46,Djokovic,Nadal,Djokovic,out,second,14,16.72,0.61,23.77,"4:2, 30:0"
48,Djokovic,Nadal,Djokovic,winner,second,4,3.44,1,-3.57,"4:2, 40:0"
49,Djokovic,Nadal,Djokovic,winner,first,3,1.96,8.16,4.3,"5:2, 0:0"
51,Nadal,Djokovic,Nadal,winner,second,7,7.08,8.4,0.61,"5:2, 0:15"
54,Nadal,Djokovic,Nadal,net,second,16,17.36,6.12,12.72,"5:2, 0:30"
56,Nadal,Djokovic,Nadal,net,second,4,0.8,6.62,12.17,"5:2, 0:40"
57,Nadal,Djokovic,Nadal,winner,first,3,2.36,8.34,1.15,"5:3, 0:0"
59,Djokovic,Nadal,Nadal,net,second,11,12.24,6.8,11.11,"5:3, 0:15"
60,Djokovic,Nadal,Djokovic,out,first,6,6.76,9.07,1.33,"5:3, 15:15"
62,Djokovic,Nadal,Djokovic,winner,second,11,12.64,0.78,20.16,"5:3, 30:15"
63,Djokovic,Nadal,Djokovic,net,first,22,21.4,3,12.51,"5:3, 40:15"
64,Djokovic,Nadal,Djokovic,net,first,4,3.640000001,2.81,12.03,"6:3 0:0, 0:0"
