rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y
138,Djokovic,Nadal,__undefined__,second_serve,first,1,0,2.58,12.17
139,Djokovic,Nadal,Djokovic,net,second,4,0.84,7.98,12.51
140,Djokovic,Nadal,__undefined__,second_serve,first,1,0,9.09,17.95
141,Djokovic,Nadal,Djokovic,out,second,4,0.8,0.82,6.64
142,Djokovic,Nadal,__undefined__,second_serve,first,1,0,0.56,17.18
143,Djokovic,Nadal,Djokovic,out,second,2,0.88,6.28,-0.91
144,Djokovic,__undefined__,__undefined__,let,first,1,0,7.06,15.54
145,Djokovic,Nadal,__undefined__,second_serve,first,1,0,5.09,19.12
146,Djokovic,Nadal,Djokovic,out,second,2,0.92,6.98,-2.1
147,Nadal,Djokovic,Nadal,out,first,2,0.76,4.42,24.45
148,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4.68,8.24
149,Nadal,Djokovic,Djokovic,winner,second,2,0.92,8.67,11.43
150,Nadal,Djokovic,__undefined__,second_serve,first,1,0,8.74,5.08
151,Nadal,Djokovic,Djokovic,double_fault,second,1,0,4.63,6.29
152,Nadal,Djokovic,Djokovic,out,first,11,12.8,8.73,-0.71
153,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4.56,5.5
154,Nadal,Djokovic,Nadal,net,second,16,11.36,4.74,11.7
155,Nadal,Djokovic,Djokovic,net,first,11,14.16,4.88,13.86
156,Djokovic,Nadal,Nadal,winner,first,8,8.96,8.21,20.84
157,Djokovic,Nadal,Djokovic,winner,first,3,2.52,2.77,5.36
158,Djokovic,Nadal,Djokovic,out,first,2,0.92,2.96,23.55
159,Djokovic,,__undefined__,second_serve,first,1,0,3.49,10.35
160,Djokovic,,Djokovic,winner,second,3,1.04,6.64,6.79
161,Djokovic,Nadal,Djokovic,winner,first,11,0.68,1.08,4.57
162,Nadal,Djokovic,Nadal,winner,first,3,2.56,1.55,21.96
163,Nadal,Djokovic,Nadal,ace,first,1,0,11.29,25.49
164,Nadal,Djokovic,Nadal,out,first,2,0.72,8.58,-1.95
165,Nadal,Djokovic,Djokovic,out,first,3,1.56,6.09,25.26
166,Nadal,Djokovic,__undefined__,let,first,1,0,4.41,16.84
167,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4.2,17.95
168,Nadal,Djokovic,Nadal,winner,second,5,4.4,1.83,16.18
169,Djokovic,Nadal,Djokovic,net,first,16,9.6,7.93,13
170,Djokovic,Nadal,Nadal,out,first,7,8.52,0.72,24.11
171,Djokovic,Nadal,Djokovic,net,first,4,3.72,8.27,11.9
172,Djokovic,Nadal,__undefined__,let,first,1,0,7.36,15.3
173,Djokovic,Nadal,Nadal,out,first,11,12.48,9.33,18.94
174,Djokovic,Nadal,Nadal,net,first,3,2.24,7.67,12.03
175,Djokovic,Nadal,Djokovic,net,first,9,6.8,5.86,11.83
176,Djokovic,Nadal,__undefined__,let,first,8,9.68,5.62,14.68
177,Djokovic,Nadal,Djokovic,net,first,2,0.88,5.22,14.15
178,Djokovic,Nadal,Djokovic,winner,first,3,2.4,1.89,19.59
179,Nadal,Djokovic,Djokovic,winner,first,4,3.48,8.18,19.78
180,Nadal,Djokovic,Nadal,ace,first,1,0,4.62,6.79
181,Nadal,Djokovic,__undefined__,second_serve,first,1,0,7.21,12.78
182,Nadal,Djokovic,Nadal,out,second,2,0.76,6.16,26.09
183,Nadal,Djokovic,Nadal,out,first,2,0.76,7.68,26.69
184,Nadal,Djokovic,__undefined__,let,first,1,0,5.11,16.1
185,Nadal,Djokovic,__undefined__,second_serve,first,1,0,9.22,5.5
186,Nadal,Djokovic,Nadal,net,second,2,0.8,6.39,13
187,Djokovic,Nadal,__undefined__,second_serve,first,1,0,4.91,10.98
188,Djokovic,Nadal,Nadal,out,second,3,1.08,1.23,5.55
189,Djokovic,Nadal,Djokovic,winner,first,7,7.44,6.57,5.75
190,Djokovic,Nadal,Djokovic,out,first,2,0.8,-1.48,22.8
191,Djokovic,Nadal,Nadal,out,first,7,3.32,10.23,3.78
192,Djokovic,Nadal,__undefined__,let,first,1,0,6.65,13.21
193,Djokovic,Nadal,Djokovic,net,first,4,0.76,6.48,13.42
194,Djokovic,Nadal,Nadal,out,first,17,14.08,9.36,0.78
195,Djokovic,Nadal,Djokovic,out,first,2,0.88,-2.11,21.55
196,Djokovic,,Djokovic,winner,first,7,7.96,6.58,12.03
197,Nadal,Djokovic,__undefined__,let,first,1,0,5.23,16.59
198,Nadal,Djokovic,Nadal,out,first,2,0.68,5.53,-0.02
199,Nadal,Djokovic,Djokovic,winner,first,6,6.6,2.44,4.71
200,Nadal,Djokovic,__undefined__,let,first,1,0,5.27,15.85
201,Nadal,Djokovic,Djokovic,net,first,9,9,4.26,11.57
202,Nadal,Djokovic,Djokovic,winner,first,4,3.08,1.88,3.36
203,Nadal,Djokovic,__undefined__,second_serve,first,1,0,4.27,17.64
204,Nadal,Djokovic,Nadal,out,first,12,0.84,8.45,-0.56
205,Nadal,Djokovic,__undefined__,second_serve,first,1,0,8.55,16.56
206,Nadal,Djokovic,Djokovic,out,second,5,4.6,0.59,23.86
